title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,$330.98,4.4 out of 5 stars,81 ratings,In Stock
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",$19.99,4.1 out of 5 stars,"1,947 ratings",In Stock
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",$28.99,4.2 out of 5 stars,28 ratings,In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Glacier White,$64.00,4.6 out of 5 stars,"168,083 ratings",
"Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joysticks for PS4, Compatible with PS4, Slim, Pro and Windows PC",$19.99,4.2 out of 5 stars,"2,454 ratings",In Stock
"AceGamer Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Lightning)",$19.99,4.3 out of 5 stars,"1,054 ratings",In Stock
"PS4 Controller Wireless, with USB C Cable/1000mAh Battery/Dual Motors/6-Axis Gyro/3.5mm Audio Jack/Multi Touch Pad/Share Button, PS4 Controller Compatible with PS4/Slim/Pro/PC",$18.98,4.2 out of 5 stars,"2,911 ratings",In Stock
"CHEREEKI Wireless Controller for PS4 with 2 Mapping Buttons, 3.5mm Audio and Turbo Function, Motion Sensor Control, Dual Vibration, Gamepad Joystick for PS-4, Compatible with PS-4, Slim, Pro",$15.99,4.9 out of 5 stars,14 ratings,In Stock
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",$29.98,4.5 out of 5 stars,"45,609 ratings",In Stock
Sony Playstation PS4 1TB Black Console,$328.99,4.6 out of 5 stars,"1,502 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),$217.98,4.3 out of 5 stars,"1,435 ratings",Only 2 left in stock - order soon.
PlayStation 4 Slim 1TB Console,$169.99,4.7 out of 5 stars,"15,721 ratings",Only 1 left in stock - order soon.
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$232.99,4.4 out of 5 stars,"4,136 ratings",Only 1 left in stock - order soon.
PlayStation 4 500GB Console [Old Model][Discontinued],$139.00,4.5 out of 5 stars,"13,592 ratings",Only 2 left in stock - order soon.
PlayStation 4 Console - 1TB Slim Edition (Renewed),Page 1 of 1,4.4 out of 5 stars,81 ratings,Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$205.95,4.3 out of 5 stars,"1,402 ratings",Only 11 left in stock - order soon.
